   0.0000000e+00  -1.3173900e-02   2.9846200e-02   3.0058500e+00  -2.6641400e-02  -1.7279900e-01   1.2820100e+00  -1.9516600e-01  -3.1595400e-02  -2.8287400e-01   5.9985400e-02  -4.6639400e-02   1.3549500e+00   1.1553400e-01   1.0014800e-01  -1.8228100e+00
   1.0000000e-01  -2.7234903e-02   3.1766688e-02   3.0058500e+00  -1.3876750e-02  -1.2983362e-01   1.2820100e+00  -1.7457534e-01  -3.7580457e-02  -2.8287400e-01   6.6726624e-02  -1.5894347e-02   1.3549500e+00   1.0826982e-01   7.1936275e-02  -1.8228100e+00
   2.0000000e-01  -3.9643694e-02   3.3461513e-02   3.0058500e+00  -2.6119857e-03  -9.1916803e-02   1.2820100e+00  -1.5640415e-01  -4.2862251e-02  -2.8287400e-01   7.2675733e-02   1.1238066e-02   1.3549500e+00   1.0185920e-01   4.7039516e-02  -1.8228100e+00
   3.0000000e-01  -5.1885411e-02   3.4219340e-02  -2.8944100e+00   6.1812702e-04  -5.4912169e-02   1.8589600e+00  -1.4036813e-01  -4.7523418e-02  -2.8287400e-01   7.7925803e-02   3.5182337e-02   1.3549500e+00   9.6201854e-02   2.5068203e-02  -1.8228100e+00
   4.0000000e-01  -7.3323942e-02   2.8809476e-02  -2.8944100e+00  -1.1386897e-02  -1.4411306e-02   1.8589600e+00  -1.0848676e-01  -4.0634082e-02   2.1543000e-01   7.5947498e-02   4.9056003e-02   2.1980700e+00   9.1209261e-02   5.6785867e-03  -1.8228100e+00
   5.0000000e-01  -9.2243379e-02   2.4035288e-02  -2.8944100e+00  -2.1981293e-02   2.1330580e-02   1.8589600e+00  -8.0160491e-02  -3.4435565e-02   2.1543000e-01   7.0231150e-02   5.6941193e-02   2.1980700e+00   8.6803312e-02  -1.1432689e-02  -1.8228100e+00
   6.0000000e-01  -1.0195877e-01   1.9646917e-02  -2.5556900e+00  -3.7012429e-02   4.1775130e-02   2.4361700e+00  -6.2672687e-02  -2.6493955e-02   7.0974300e-01   6.5186491e-02   6.3899849e-02   2.1980700e+00   8.2915077e-02  -2.6533337e-02  -1.8228100e+00
   7.0000000e-01  -1.0789429e-01   1.5707881e-02  -2.5556900e+00  -5.2682869e-02   5.5120089e-02   2.4361700e+00  -5.2499823e-02  -1.7754632e-02   7.0974300e-01   6.0734595e-02   7.0040841e-02   2.1980700e+00   7.7825917e-02  -3.8942300e-02  -2.5593900e+00
   8.0000000e-01  -1.1313237e-01   1.2231693e-02  -2.5556900e+00  -6.6511985e-02   6.6896974e-02   2.4361700e+00  -4.3522302e-02  -1.0042206e-02   7.0974300e-01   5.0316851e-02   7.1983719e-02   2.9736200e+00   6.6738060e-02  -4.6241671e-02  -2.5593900e+00
   9.0000000e-01  -1.1775496e-01   9.1639686e-03  -2.5556900e+00  -8.0880487e-02   7.4897754e-02   2.9716800e+00  -3.5599667e-02  -3.2360142e-03   7.0974300e-01   4.0902632e-02   7.3580093e-02   2.9736200e+00   5.6953060e-02  -5.2683343e-02  -2.5593900e+00
   1.0000000e+00  -1.2183439e-01   6.4567111e-03  -2.5556900e+00  -9.7386622e-02   7.7729660e-02   2.9716800e+00  -2.8607967e-02   2.7704290e-03   7.0974300e-01   3.2594613e-02   7.4988887e-02   2.9736200e+00   4.8317829e-02  -5.8368099e-02  -2.5593900e+00
   1.1000000e+00  -1.2606016e-01   3.9093597e-03  -2.7150400e+00  -1.1195324e-01   8.0228809e-02   2.9716800e+00  -2.2437813e-02   8.0710965e-03   7.0974300e-01   1.9240104e-02   7.2092230e-02  -2.7897200e+00   4.0697263e-02  -6.3384878e-02  -2.5593900e+00
